Gene_ID,Gene_Name
GeneID:11429,Aco2
GeneID:56448,Cyp2d22
GeneID:23970,Pacsin2
GeneID:72301,1810041L15Rik
GeneID:223739,5031439G07Rik
GeneID:723966,Mirlet7c-2
GeneID:387245,Mirlet7b
GeneID:11434,Acr
GeneID:68708,Rabl2
GeneID:106042,Prickle1
GeneID:54003,Nell2
GeneID:67739,Slc48a1
GeneID:56233,Hdac7
GeneID:69612,Kansl2
GeneID:100217417,Snora34
GeneID:100217416,Snora2b
GeneID:12297,Cacnb3
GeneID:239667,Dip2b
GeneID:11908,Atf1
GeneID:70152,Mettl7a1
GeneID:668218,Bin2
GeneID:406220,Krt77
GeneID:77055,Krt76
GeneID:223918,Spryd3
GeneID:16012,Igfbp6
GeneID:223920,Soat2
GeneID:246277,Csad
GeneID:67488,Calcoco1
GeneID:83383,Tfap4
GeneID:72615,Anks3
GeneID:74684,4930451G09Rik
GeneID:432995,Gm5480
GeneID:66049,Rogdi
GeneID:74022,Glyr1
GeneID:268859,Rbfox1
GeneID:69053,1810013L24Rik
GeneID:13731,Emp2
GeneID:12703,Socs1
GeneID:21959,Tnp2
GeneID:19120,Prm3
GeneID:19119,Prm2
GeneID:223970,Rmi2
GeneID:14852,Gspt1
GeneID:100316833,Mir1945
GeneID:74478,Snx29
GeneID:50505,Ercc4
GeneID:239719,Mkl2
GeneID:74108,Parn
GeneID:67118,Bfar
GeneID:66598,3110001I22Rik
GeneID:17250,Abcc1
GeneID:16136,Igll1
GeneID:22362,Vpreb1
GeneID:21976,Top3b
GeneID:68606,Ppm1f
GeneID:27416,Abcc5
GeneID:104156,Etv5
GeneID:59083,Fetub
GeneID:210126,Lpp
GeneID:22061,Trp63
GeneID:27281,Hrasls
GeneID:15205,Hes1
GeneID:224090,Tmem44
GeneID:66849,Ppp1r2
GeneID:66061,Tctex1d2
GeneID:13026,Pcyt1a
GeneID:239833,Lmln
GeneID:101055659,LOC101055659
GeneID:16419,Itgb5
GeneID:70186,Fam162a
GeneID:381045,Ccdc58
GeneID:239845,Gpr156
GeneID:75175,4930542C21Rik
GeneID:207683,Igsf11
GeneID:56490,Zbtb20
GeneID:791329,Gm9968
GeneID:212517,Wdr52
GeneID:117606,Boc
GeneID:100503378,Gm15638
GeneID:75211,4930542D17Rik
GeneID:11658,Alcam
GeneID:320712,Abi3bp
GeneID:67581,Tbc1d23
GeneID:74185,Gbe1
GeneID:268902,Robo2
GeneID:268903,Nrip1
GeneID:11820,App
GeneID:11504,Adamts1
GeneID:12013,Bach1
GeneID:20655,Sod1
GeneID:224432,Scaf4
GeneID:26559,Hunk
GeneID:54720,Rcan1
GeneID:12394,Runx1
GeneID:435489,Gm5678
GeneID:109857,Cbr3
GeneID:110948,Hlcs
GeneID:13185,Dscr3
GeneID:16522,Kcnj6
GeneID:23872,Ets2
GeneID:93961,B3galt5
GeneID:207781,C2cd2
GeneID:239985,Arid1b
GeneID:66616,Snx9
GeneID:23984,Pde10a
GeneID:68262,Agpat4
GeneID:72578,2700054A10Rik
GeneID:17356,Mllt4
GeneID:328747,Gm5091
GeneID:51792,Ppp2r1a
GeneID:22712,Zfp54
GeneID:224613,Flywch1
GeneID:76917,Flywch2
GeneID:72016,1600002H07Rik
GeneID:12449,Ccnf
GeneID:224624,Rab40c
GeneID:67458,Ergic1
GeneID:268934,Grm4
GeneID:15361,Hmga1
GeneID:106672,AI413582
GeneID:19015,Ppard
GeneID:14229,Fkbp5
GeneID:100862287,LOC100862287
GeneID:320187,E230001N04Rik
GeneID:69307,Pxt1
GeneID:20383,Srsf3
GeneID:100504267,Trp53cor1
GeneID:12575,Cdkn1a
GeneID:109801,Glo1
GeneID:474160,BC033916
GeneID:407803,BC051226
GeneID:13163,Daxx
GeneID:81630,Zbtb22
GeneID:100502849,Gm19412
GeneID:21356,Tapbp
GeneID:19732,Rgl2
GeneID:14976,H2-Ke2
GeneID:56299,Fkbpl
GeneID:12915,Atf6b
GeneID:15511,Hspa1b
GeneID:22321,Vars
GeneID:27762,Vwa7
GeneID:78376,Sapcd1
GeneID:15937,Ier3
GeneID:14251,Flot1
GeneID:78249,Gpr115
GeneID:109115,Supt3
GeneID:18037,Nfkbie
GeneID:224807,Tmem63b
GeneID:100038605,E030047D23Rik
GeneID:68463,Mrpl14
GeneID:768271,BE949265
GeneID:72240,1600014C23Rik
GeneID:442840,A330017A19Rik
GeneID:72726,Tbcc
GeneID:17240,Mdfi
GeneID:56738,Mocs1
GeneID:18519,Kat2b
GeneID:19280,Ptprs
GeneID:668592,Gm9258
GeneID:20834,Znrf4
GeneID:75039,4930505H01Rik
GeneID:67993,Nudt12
GeneID:13640,Efna5
GeneID:50758,Fbxl17
GeneID:17158,Man2a1
GeneID:65960,Twsg1
GeneID:13823,Epb4.1l3
GeneID:22666,Zbtb14
GeneID:224997,Dlgap1
GeneID:21815,Tgif1
GeneID:100316676,Mir1195
GeneID:17929,Myom1
GeneID:320159,Fam179a
GeneID:225004,BC027072
GeneID:11682,Alk
GeneID:77889,Lbh
GeneID:12211,Birc6
GeneID:74196,Ttc27
GeneID:268977,Ltbp1
GeneID:268980,Strn
GeneID:106794,Dhx57
GeneID:116871,Mta3
GeneID:213556,Plekhh2
GeneID:18754,Prkce
GeneID:13819,Epas1
GeneID:56468,Socs5
GeneID:18189,Nrxn1
GeneID:26410,Map3k8
GeneID:73915,4833419F23Rik
GeneID:101056227,LOC101056227
GeneID:75415,Arhgap12
GeneID:19330,Rab18
GeneID:75739,Mpp7
GeneID:59025,Usp14
GeneID:19877,Rock1
GeneID:16210,Impact
GeneID:225207,Zfp521
GeneID:268996,Ss18
GeneID:381126,Garem
GeneID:212307,Mapre2
GeneID:68591,Mocos
GeneID:320624,4930474G06Rik
GeneID:225339,Ammecr1l
GeneID:30948,Bin1
GeneID:11789,Apc
GeneID:66384,Srp19
GeneID:56550,Ube2d2a
GeneID:67199,Pfdn1
GeneID:108857,Ankhd1
GeneID:108112,Eif4ebp3
GeneID:24068,Sra1
GeneID:225372,Apbb3
GeneID:67843,Slc35a4
GeneID:240216,E230025N22Rik
GeneID:83885,Slc25a2
GeneID:24074,Taf7
GeneID:14164,Fgf1
GeneID:71302,Arhgap26
GeneID:14815,Nr3c1
GeneID:100042757,Gm4013
GeneID:225432,Rbm27
GeneID:328949,Mcc
GeneID:106869,Tnfaip8
GeneID:100861953,LOC100861953
GeneID:69226,Snx24
GeneID:225523,Cep120
GeneID:269023,Zfp608
GeneID:12322,Camk2a
GeneID:545261,Gm20748
GeneID:328968,Mir143hg
GeneID:387163,Mir145
GeneID:387161,Mir143
GeneID:70223,Nars
GeneID:328977,Zfp532
GeneID:70799,Cep192
GeneID:52662,Ldlrad4
GeneID:21413,Tcf4
GeneID:17191,Mbd2
GeneID:74453,Ccdc11
GeneID:269037,Ctif
GeneID:207259,Zbtb7c
GeneID:66191,Ier3ip1
GeneID:212163,8030462N17Rik
GeneID:67640,4930465K10Rik
GeneID:100502841,Epg5
GeneID:27411,Slc14a2
GeneID:76961,2210420H20Rik
GeneID:329003,Zfp516
GeneID:109672,Cyb5
GeneID:12894,Cpt1a
GeneID:14870,Gstp1
GeneID:14869,Gstp2
GeneID:225876,Kdm2a
GeneID:225865,Catsper1
GeneID:73720,Cst6
GeneID:14283,Fosl1
GeneID:240514,Ccdc85b
GeneID:114601,Ehbp1l1
GeneID:17826,Fam89b
GeneID:56390,Sssca1
GeneID:66961,Neat1
GeneID:69595,Gm9783
GeneID:67457,Frmd8
GeneID:107375,Slc25a45
GeneID:332359,Tigd3
GeneID:19708,Dpf2
GeneID:18969,Pola2
GeneID:381203,Slc22a20
GeneID:20521,Slc22a12
GeneID:107227,Macrod1
GeneID:68229,AI846148
GeneID:654802,1700105P06Rik
GeneID:17254,Slc3a2
GeneID:66395,Ahnak
GeneID:22287,Scgb1a1
GeneID:14319,Fth1
GeneID:24115,Best1
GeneID:76267,Fads1
GeneID:76303,Osbp
GeneID:17476,Mpeg1
GeneID:207521,Dtx4
GeneID:107373,Fam111a
GeneID:353211,Prune2
GeneID:225994,Nmrk1
GeneID:67383,2410127L17Rik
GeneID:226040,Tmem252
GeneID:226041,Pgm5
GeneID:107351,Kank1
GeneID:67155,Smarca2
GeneID:19726,Rfx3
GeneID:226075,Glis3
GeneID:100503337,Gm9895
GeneID:60533,Cd274
GeneID:77125,Il33
GeneID:17330,Minpp1
GeneID:19211,Pten
GeneID:240633,Lipk
GeneID:54132,Pdlim1
GeneID:20411,Sorbs1
GeneID:20250,Scd2
GeneID:100503041,Pdzd7
GeneID:94280,Sfxn3
GeneID:18011,Neurl1a
GeneID:14218,Sh3pxd2a
