Symbol,SIDM00551,SIDM00478,SIDM00326,SIDM01026,SIDM01028,SIDM00278,SIDM00250,SIDM01032,SIDM01031,SIDM01024,SIDM01027,SIDM00956,SIDM00347,SIDM00325,SIDM01025,SIDM00349,SIDM00052,SIDM01029,SIDM00322
PSMA7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMB1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMB2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMB3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMB5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMB7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMC3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMC6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMD1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMD12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMD14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMD6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PUF60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PWP2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
QARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RABGGTB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAD51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RANGAP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RBBP5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RBM14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RBMX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RBMX2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RBX1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RCC1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RHEB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RNPS1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPA1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPA2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPA3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL10A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL13A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL18A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL27A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL37A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPL8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPLP0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPP14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPP38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS15A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
